Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 03/01/2000 / Data final: 04/01/2010.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
03/03/2009;12,66;1,00047314;208.182.785.465,72;1191;12,65;12,66;12,66;0,118;179,066;
02/03/2009;12,66;1,00047314;203.899.602.016,13;1199;12,65;12,66;12,66;0,111;198,431;
27/02/2009;12,66;1,00047314;202.229.114.909,8;1239;12,65;12,66;12,66;0,116;185,06;
26/02/2009;12,66;1,00047314;212.886.080.359,9;1224;12,65;12,66;12,66;0,109;205,382;
25/02/2009;12,66;1,00047314;215.781.014.263,41;1121;12,65;12,66;12,66;0,105;229,203;
20/02/2009;12,66;1,00047314;223.170.605.655,53;917;12,65;12,66;12,66;0,107;219,533;
19/02/2009;12,66;1,00047314;233.887.582.818,67;1295;12,65;12,66;12,66;0,106;217,138;
18/02/2009;12,66;1,00047314;223.622.830.530,85;1266;12,65;12,66;12,66;0,115;188,772;
17/02/2009;12,66;1,00047314;223.241.546.437,14;1295;12,65;12,66;12,66;0,11;197,569;
16/02/2009;12,66;1,00047314;237.421.071.205,34;1258;12,65;12,66;12,66;0,111;203,646;
13/02/2009;12,66;1,00047314;248.705.179.151,63;1213;12,65;12,66;12,66;0,1;246,681;
12/02/2009;12,66;1,00047314;229.602.348.537,07;1306;12,65;12,66;12,66;0,11;208,117;
11/02/2009;12,66;1,00047314;225.495.808.751,15;1269;12,65;12,66;12,66;0,096;271,02;
10/02/2009;12,66;1,00047314;218.922.242.300,68;1295;12,65;12,66;12,66;0,109;200,584;
09/02/2009;12,66;1,00047314;202.718.816.943,71;1292;12,65;12,66;12,66;0,106;224,803;
06/02/2009;12,66;1,00047314;214.460.684.005,78;1326;12,65;12,66;12,66;0,099;252,747;
05/02/2009;12,66;1,00047314;216.012.267.977,76;1033;12,65;12,66;12,66;0,109;205,418;
04/02/2009;12,66;1,00047314;216.301.455.759,86;1295;12,65;12,66;12,66;0,109;202,086;
03/02/2009;12,66;1,00047314;209.898.028.984,22;1316;12,65;12,66;12,66;0,113;190,141;
02/02/2009;12,66;1,00047314;217.362.804.462,18;1327;12,65;12,66;12,66;0,107;216,655;
30/01/2009;12,66;1,00047314;213.928.882.954,96;1315;12,65;12,66;12,66;0,111;204,333;
29/01/2009;12,66;1,00047314;228.720.404.128,74;1273;12,65;12,66;12,66;0,107;218,931;
28/01/2009;12,66;1,00047314;227.696.640.537,32;1268;12,65;12,66;12,66;0,106;220,969;
27/01/2009;12,66;1,00047314;221.052.384.158,05;1059;12,64;12,66;12,66;0,115;213,651;
26/01/2009;12,65;1,00047279;215.535.210.922,53;1021;12,64;12,66;12,66;0,112;187,069;
23/01/2009;12,66;1,00047314;231.708.114.748,65;1293;12,65;12,66;12,66;0,116;167,014;
22/01/2009;12,65;1,00047279;227.824.340.179,55;1121;12,65;12,66;12,66;0,143;91,669;
21/01/2009;13,65;1,00050788;242.682.311.570,6;1234;13,64;13,66;13,66;0,118;170,004;
20/01/2009;13,65;1,00050788;244.187.776.752,65;1513;13,64;13,66;13,66;0,122;135,181;
