Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 04/01/2010 / Data final: 02/01/2020.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
20/03/2019;6,4;1,00024620;504.038.075.157,16;853;6,4;6,39;6,4;0,023;479,321;
19/03/2019;6,4;1,00024620;489.425.113.442,82;853;6,4;6,39;6,4;0,018;557,894;
18/03/2019;6,4;1,00024620;490.548.515.591,22;847;6,4;6,39;6,4;0,018;574,131;
15/03/2019;6,4;1,00024620;483.535.960.358,71;904;6,4;6,39;6,4;0,019;550,746;
14/03/2019;6,4;1,00024620;486.305.293.098,08;882;6,4;6,39;6,4;0,016;723,05;
13/03/2019;6,4;1,00024620;487.972.052.452,12;883;6,4;6,39;6,4;0,018;570,145;
12/03/2019;6,4;1,00024620;489.341.125.125,69;861;6,4;6,39;6,4;0,018;578,387;
11/03/2019;6,4;1,00024620;470.788.797.872,61;859;6,4;6,39;6,4;0,02;523,265;
08/03/2019;6,4;1,00024620;478.582.162.561,25;868;6,4;6,39;6,4;0,019;470,994;
07/03/2019;6,4;1,00024620;465.943.386.505,04;834;6,4;6,39;6,4;0,022;577,291;
06/03/2019;6,4;1,00024620;449.150.524.071,84;874;6,4;6,39;6,4;0,024;1.035,442;
01/03/2019;6,4;1,00024620;424.708.299.507,55;866;6,39;6,39;6,4;0,062;308,594;
28/02/2019;6,4;1,00024620;342.604.003.429,24;864;6,4;6,39;6,4;0,026;322,363;
27/02/2019;6,4;1,00024620;370.835.713.697,71;884;6,4;6,39;6,4;0,024;553,5;
26/02/2019;6,4;1,00024620;365.933.690.298,72;859;6,4;6,39;6,4;0,021;467,483;
25/02/2019;6,4;1,00024620;381.605.063.743,44;869;6,4;6,39;6,4;0,039;207,437;
22/02/2019;6,4;1,00024620;377.248.456.192,49;897;6,4;6,39;6,4;0,019;607,962;
21/02/2019;6,4;1,00024620;399.792.125.691,35;864;6,4;6,39;6,4;0,019;576,467;
20/02/2019;6,4;1,00024620;435.658.196.708,35;940;6,41;6,39;6,4;0,092;68,194;
19/02/2019;6,4;1,00024620;430.258.636.485,88;879;6,4;6,39;6,4;0,019;516,907;
18/02/2019;6,4;1,00024620;429.201.749.315,91;869;6,4;6,39;6,4;0,023;297,085;
15/02/2019;6,4;1,00024620;425.067.119.064,53;902;6,4;6,39;6,4;0,025;433,761;
14/02/2019;6,4;1,00024620;430.507.929.972,06;860;6,4;6,39;6,4;0,018;657,772;
13/02/2019;6,4;1,00024620;423.032.466.031,19;889;6,4;6,39;6,4;0,019;498,687;
12/02/2019;6,4;1,00024620;421.071.029.925,86;875;6,4;6,39;6,4;0,022;373,657;
11/02/2019;6,4;1,00024620;404.354.047.769,06;890;6,4;6,39;6,4;0,022;407,959;
08/02/2019;6,4;1,00024620;371.778.296.999,71;907;6,4;6,39;6,4;0,022;460,102;
07/02/2019;6,4;1,00024620;381.951.094.054,78;894;6,4;6,39;6,4;0,019;557,749;
06/02/2019;6,4;1,00024620;460.205.180.621,72;884;6,4;6,39;6,4;0,02;595,015;
05/02/2019;6,4;1,00024620;472.638.932.250,44;885;6,4;6,39;6,4;0,019;631,55;
04/02/2019;6,4;1,00024620;466.316.470.868,14;890;6,4;6,39;6,4;0,018;560,125;
01/02/2019;6,4;1,00024620;446.853.601.408,13;907;6,4;6,39;6,4;0,023;593,823;
31/01/2019;6,4;1,00024620;481.898.669.053,05;894;6,4;6,39;6,4;0,029;565,087;
30/01/2019;6,4;1,00024620;491.325.917.232,98;885;6,4;6,39;6,4;0,018;549,481;
29/01/2019;6,4;1,00024620;497.391.490.843,71;883;6,4;6,39;6,4;0,02;481,409;
28/01/2019;6,4;1,00024620;484.487.229.330,07;887;6,4;6,39;6,4;0,019;560,497;
25/01/2019;6,4;1,00024620;450.314.894.346,14;728;6,4;6,39;6,4;0,015;1.115,094;
24/01/2019;6,4;1,00024620;478.170.170.496,66;694;6,4;6,39;6,4;0,013;1.214,416;
23/01/2019;6,4;1,00024620;515.401.141.932,76;863;6,4;6,39;6,4;0,018;538,596;
22/01/2019;6,4;1,00024620;517.290.942.940,11;873;6,4;6,39;6,4;0,02;386,723;
21/01/2019;6,4;1,00024620;522.408.895.169,04;887;6,4;6,39;6,4;0,018;696,016;
18/01/2019;6,4;1,00024620;528.664.110.987,35;888;6,4;6,39;6,4;0,018;768,961;
17/01/2019;6,4;1,00024620;544.910.451.346,15;860;6,4;6,39;6,4;0,017;775,738;
16/01/2019;6,4;1,00024620;544.668.950.922,58;850;6,4;6,39;6,4;0,018;741,08;
15/01/2019;6,4;1,00024620;538.299.385.275,7;849;6,4;6,39;6,4;0,018;635,261;
14/01/2019;6,4;1,00024620;525.911.568.415,15;835;6,4;6,39;6,4;0,032;191,765;
11/01/2019;6,4;1,00024620;529.357.948.303,56;848;6,4;6,39;6,4;0,02;494,293;
10/01/2019;6,4;1,00024620;534.079.765.211,44;834;6,4;6,39;6,4;0,018;575,67;
09/01/2019;6,4;1,00024620;537.213.679.753,31;822;6,4;6,39;6,4;0,018;643,194;
08/01/2019;6,4;1,00024620;530.141.878.690;849;6,4;6,39;6,4;0,02;583,1;
07/01/2019;6,4;1,00024620;519.725.659.300,09;858;6,4;6,39;6,4;0,02;637,366;
04/01/2019;6,4;1,00024620;517.604.956.596,29;872;6,39;6,39;6,4;0,056;216,371;
03/01/2019;6,4;1,00024620;525.818.719.646,23;878;6,4;6,39;6,4;0,027;686,988;
02/01/2019;6,4;1,00024620;518.241.313.671,84;876;6,39;6,39;6,4;0,05;331,355;
31/12/2018;6,4;1,00024620;201.207.429.823,23;238;6,4;6,4;6,4;0,022;701,002;
28/12/2018;6,4;1,00024620;225.741.312.279,33;297;6,4;6,4;6,4;0,035;407,143;
27/12/2018;6,4;1,00024620;363.123.628.229,59;894;6,4;6,39;6,4;0,037;368,149;
26/12/2018;6,4;1,00024620;348.934.610.084,31;995;6,39;6,39;6,4;0,069;108,133;
24/12/2018;6,4;1,00024620;281.843.885.616,37;456;6,4;6,4;6,4;0,033;394,383;
21/12/2018;6,4;1,00024620;287.527.672.942,53;471;6,39;6,4;6,4;0,067;130,168;
20/12/2018;6,4;1,00024620;416.573.565.599,07;940;6,4;6,39;6,4;0,022;540,996;
